Date,VL,Devise
21/04/2026,1539.27,EUR
20/04/2026,1517.36,EUR
19/04/2026,1560.58,EUR
16/04/2026,1588.93,EUR
15/04/2026,1556.75,EUR
14/04/2026,1567.09,EUR
13/04/2026,1564.96,EUR
12/04/2026,1529.42,EUR
09/04/2026,1531.44,EUR
08/04/2026,1545.76,EUR
07/04/2026,1528.27,EUR
06/04/2026,1467.27,EUR
01/04/2026,1481.42,EUR
31/03/2026,1515.99,EUR
30/03/2026,1487.34,EUR
29/03/2026,1433.2,EUR
26/03/2026,1419.58,EUR
25/03/2026,1385.24,EUR
24/03/2026,1454.17,EUR
23/03/2026,1411.51,EUR
22/03/2026,1406.59,EUR
19/03/2026,1451.93,EUR
18/03/2026,1459.88,EUR
17/03/2026,1558.86,EUR
16/03/2026,1607.22,EUR
15/03/2026,1600.14,EUR
12/03/2026,1599.74,EUR
11/03/2026,1655.6,EUR
10/03/2026,1673.01,EUR
09/03/2026,1710.23,EUR
08/03/2026,1653.54,EUR
05/03/2026,1653.53,EUR
04/03/2026,1628.53,EUR
03/03/2026,1648.97,EUR
02/03/2026,1631.94,EUR
01/03/2026,1739.17,EUR
26/02/2026,1763.76,EUR
25/02/2026,1700.7,EUR
24/02/2026,1747.17,EUR
23/02/2026,1694.59,EUR
22/02/2026,1687.84,EUR
19/02/2026,1650.63,EUR
18/02/2026,1589.74,EUR
17/02/2026,1603.24,EUR
16/02/2026,1544.85,EUR
12/02/2026,1599.84,EUR
11/02/2026,1560.73,EUR
10/02/2026,1650.73,EUR
09/02/2026,1614.27,EUR
08/02/2026,1634.29,EUR
05/02/2026,1589.86,EUR
04/02/2026,1569.04,EUR
03/02/2026,1637.73,EUR
02/02/2026,1637.19,EUR
01/02/2026,1542.37,EUR
29/01/2026,1567.27,EUR
28/01/2026,1928.69,EUR
27/01/2026,1925.87,EUR
26/01/2026,1832.17,EUR
25/01/2026,1946.14,EUR
22/01/2026,1835.02,EUR
21/01/2026,1768.22,EUR
20/01/2026,1722.4,EUR
19/01/2026,1713.82,EUR
15/01/2026,1633.01,EUR
14/01/2026,1672.8,EUR
13/01/2026,1667.51,EUR
12/01/2026,1632.93,EUR
11/01/2026,1635.36,EUR
08/01/2026,1572.03,EUR
07/01/2026,1535.89,EUR
06/01/2026,1547.98,EUR
05/01/2026,1605.39,EUR
04/01/2026,1542.09,EUR
01/01/2026,1465.36,EUR
30/12/2025,1446.07,EUR
29/12/2025,1528.56,EUR
28/12/2025,1460.57,EUR
23/12/2025,1516.26,EUR
22/12/2025,1527.17,EUR
21/12/2025,1469.3,EUR
18/12/2025,1437.98,EUR
17/12/2025,1411.78,EUR
16/12/2025,1414.47,EUR
15/12/2025,1374.16,EUR
14/12/2025,1362.59,EUR
11/12/2025,1338.22,EUR
